config,top_area_um2,top_area_mm2,status,tag
E4M3_E3M2_UE2M6_vec16,20413.134,0.020413133999999996,OK,260408-193644_E4M3_E3M2_UE2M6_vec16
E4M3_E3M2_UE2M6_vec32,40726.35,0.040726349999999995,OK,260408-193651_E4M3_E3M2_UE2M6_vec32
E4M3_E3M2_UE2M6_vec4,5178.222,0.005178222,OK,260408-193659_E4M3_E3M2_UE2M6_vec4
E4M3_E3M2_UE4M4_vec16,18483.822,0.018483822,OK,260408-193706_E4M3_E3M2_UE4M4_vec16
E4M3_E3M2_UE4M4_vec32,36867.726,0.036867726,OK,260408-193713_E4M3_E3M2_UE4M4_vec32
E4M3_E3M2_UE4M4_vec4,4695.894,0.004695894,OK,260408-193721_E4M3_E3M2_UE4M4_vec4
E4M3_E3M2_UE6M2_vec16,16985.934,0.016985934,OK,260408-193728_E4M3_E3M2_UE6M2_vec16
E4M3_E3M2_UE6M2_vec32,33871.95,0.03387195,OK,260408-193736_E4M3_E3M2_UE6M2_vec32
E4M3_E3M2_UE6M2_vec4,4321.422,0.004321421999999999,OK,260408-193743_E4M3_E3M2_UE6M2_vec4
E4M3_E3M2_UE8M0_vec16,15516.27,0.01551627,OK,260408-193751_E4M3_E3M2_UE8M0_vec16
E4M3_E3M2_UE8M0_vec32,30932.622,0.030932621999999996,OK,260408-193758_E4M3_E3M2_UE8M0_vec32
E4M3_E3M2_UE8M0_vec4,3954.006,0.0039540059999999995,OK,260408-193805_E4M3_E3M2_UE8M0_vec4
E4M3_E4M3_UE2M6_vec16,21308.238,0.021308238,OK,260408-193812_E4M3_E4M3_UE2M6_vec16
E4M3_E4M3_UE2M6_vec32,42516.558,0.042516557999999996,OK,260408-193819_E4M3_E4M3_UE2M6_vec32
E4M3_E4M3_UE2M6_vec4,5401.998,0.005401997999999999,OK,260408-193827_E4M3_E4M3_UE2M6_vec4
E4M3_E4M3_UE4M4_vec16,19284.174,0.019284173999999998,OK,260408-193834_E4M3_E4M3_UE4M4_vec16
E4M3_E4M3_UE4M4_vec32,38468.43,0.03846843,OK,260408-193841_E4M3_E4M3_UE4M4_vec32
E4M3_E4M3_UE4M4_vec4,4895.982,0.004895982,OK,260408-193849_E4M3_E4M3_UE4M4_vec4
E4M3_E4M3_UE6M2_vec16,17479.854,0.017479854,OK,260408-193856_E4M3_E4M3_UE6M2_vec16
E4M3_E4M3_UE6M2_vec32,34859.79,0.03485979,OK,260408-193903_E4M3_E4M3_UE6M2_vec32
E4M3_E4M3_UE6M2_vec4,4444.902,0.004444902,OK,260408-193911_E4M3_E4M3_UE6M2_vec4
E4M3_E4M3_UE8M0_vec16,15790.446,0.015790446,OK,260408-193918_E4M3_E4M3_UE8M0_vec16
E4M3_E4M3_UE8M0_vec32,31480.974,0.031480973999999995,OK,260408-193925_E4M3_E4M3_UE8M0_vec32
E4M3_E4M3_UE8M0_vec4,4022.55,0.00402255,OK,260408-193933_E4M3_E4M3_UE8M0_vec4
E5M2_E2M1_UE2M6_vec16,18695.502,0.018695502,OK,260408-193940_E5M2_E2M1_UE2M6_vec16
E5M2_E2M1_UE2M6_vec32,37291.086,0.037291086,OK,260408-193947_E5M2_E2M1_UE2M6_vec32
E5M2_E2M1_UE2M6_vec4,4748.814,0.0047488140000000005,OK,260408-193955_E5M2_E2M1_UE2M6_vec4
E5M2_E2M1_UE4M4_vec16,17221.806,0.017221806,OK,260408-194002_E5M2_E2M1_UE4M4_vec16
E5M2_E2M1_UE4M4_vec32,34343.694,0.034343694,OK,260408-194009_E5M2_E2M1_UE4M4_vec32
