net,length_um
accumulator._1080_,28.1
scaleAdd._059_,28.04
accumulator._0735_,27.99
accumulator._0837_,27.9
accumulator._0647_,27.66
operator.io_outExp\[2\],27.6
accumulator._0786_,27.52
accumulator._0132_,27.44
accumulator._0502_,27.36
accumulator._0666_,27.26
accumulator._0815_,27.24
accumulator._0379_,27.22
accumulator._0948_,27.14
accumulator._0071_,27.08
accumulator._0060_,27.06
accumulator._0748_,27.06
accumulator._0846_,27.02
accumulator._0939_,26.98
accumulator._0865_,26.78
accumulator._0509_,26.76
accumulator._0630_,26.7
accumulator._0066_,26.6
accumulator._0845_,26.56
accumulator._0372_,26.44
accumulator._0505_,26.32
accumulator._0549_,26.26
accumulator._0440_,26.24
accumulator._0952_,26.11
scaleAdd._023_,26.1
accumulator._0936_,26.04
accumulator._0701_,25.88
accumulator._0442_,25.84
accumulator._0648_,25.8
accumulator._0758_,25.74
accumulator._0702_,25.64
accumulator._0898_,25.64
scaleAdd._221_,25.38
accumulator.io_inMant\[7\],25.28
accumulator._0129_,25.18
accumulator._0248_,25.18
scaleAdd._281_,25.1
accumulator._0668_,25.04
operator.io_outExp\[0\],24.88
accumulator._0443_,24.8
accumulator._0716_,24.78
scaleAdd._099_,24.78
accumulator._0965_,24.67
accumulator._1087_,24.56
accumulator._0463_,24.54
accumulator._0970_,24.415
accumulator._0513_,24.38
accumulator._0281_,24.36
accumulator._1003_,24.36
scaleAdd._261_,24.32
accumulator._0789_,24.3
accumulator._0105_,24.28
accumulator._0503_,24.28
scaleAdd._127_,24.28
scaleAdd._044_,24.26
accumulator._0034_,24.12
accumulator._0593_,23.92
accumulator._0673_,23.92
scaleAdd._132_,23.86
accumulator._0694_,23.84
accumulator._0791_,23.82
accumulator._1131_,23.8
net10,23.76
accumulator._0541_,23.64
accumulator._0739_,23.64
scaleAdd._184_,23.6
scaleAdd._116_,23.56
accumulator.io_inMant\[12\],23.52
accumulator._0520_,23.5
accumulator._0096_,23.48
scaleAdd._172_,23.42
accumulator._0589_,23.38
scaleAdd._004_,23.38
net34,23.38
accumulator._0695_,23.28
accumulator._1043_,23.14
accumulator._1108_,23.14
scaleAdd._036_,23.13
accumulator._0729_,23.12
accumulator._0085_,22.98
accumulator._0690_,22.96
scaleAdd._118_,22.94
accumulator.io_inMant\[11\],22.92
accumulator.state\[0\],22.9
accumulator._0903_,22.88
accumulator._0566_,22.82
scaleAdd._179_,22.8
accumulator._0276_,22.76
accumulator._0675_,22.7
accumulator._0806_,22.68
accumulator._0135_,22.66
accumulator._0563_,22.62
accumulator._0679_,22.56
accumulator._0126_,22.5
accumulator._0687_,22.46
accumulator._0645_,22.4
accumulator._0874_,22.3
accumulator._0572_,22.26
accumulator._0851_,22.16
scaleAdd._062_,22.08
accumulator._0514_,22.06
accumulator._0055_,22.04
accumulator._0212_,22.04
operator.io_outExp\[1\],22.04
accumulator._0245_,21.9
accumulator.io_inMant\[8\],21.74
accumulator._0896_,21.675
accumulator._0249_,21.66
accumulator._0537_,21.6
accumulator._0336_,21.56
accumulator._0768_,21.475
accumulator._0264_,21.46
accumulator._0054_,21.36
accumulator._0112_,21.28
accumulator._0257_,21.28
accumulator._0885_,21.26
accumulator._0192_,21.24
net21,21.22
accumulator._0237_,21.2
accumulator.io_inMant\[10\],21.16
accumulator._0545_,21.12
accumulator._0547_,21.12
accumulator._0445_,21.06
scaleAdd._083_,21.05
accumulator._0727_,21.04
accumulator._0411_,21
accumulator._1052_,21
accumulator.io_accOut\[31\],20.86
accumulator._0049_,20.78
accumulator._0462_,20.78
accumulator._0384_,20.76
scaleAdd._136_,20.74
accumulator._0037_,20.66
accumulator._0972_,20.66
accumulator._0211_,20.52
accumulator._0222_,20.4
accumulator._0567_,20.4
accumulator._0272_,20.38
scaleAdd._112_,20.34
scaleAdd._185_,20.26
scaleAdd._204_,20.24
accumulator._0340_,20.22
accumulator._0622_,20.2
accumulator._0822_,20.2
scaleAdd._006_,20.14
accumulator._0640_,20.12
accumulator._1081_,20.04
accumulator._0743_,19.94
accumulator._0542_,19.92
accumulator._0062_,19.86
accumulator._0480_,19.86
accumulator._0324_,19.74
accumulator._0260_,19.72
accumulator._0288_,19.52
accumulator._0159_,19.5
accumulator._0893_,19.5
accumulator._0297_,19.38
accumulator._0888_,19.26
accumulator._0259_,19.24
accumulator._0477_,19.24
accumulator._0623_,19.14
operator._09_,19.14
accumulator._0114_,19.12
accumulator._0479_,19.06
accumulator._0760_,19.06
operator._10_,19.06
scaleAdd._031_,18.84
accumulator._0221_,18.78
accumulator._0347_,18.78
accumulator._0802_,18.7
scaleAdd._125_,18.66
accumulator._0826_,18.6
accumulator._1105_,18.54
accumulator._0659_,18.52
accumulator._0412_,18.48
accumulator.io_inMant\[17\],18.48
accumulator._0493_,18.41
accumulator._0460_,18.4
accumulator._0794_,18.4
accumulator._0059_,18.36
accumulator._0942_,18.32
accumulator._0580_,18.3
accumulator._0804_,18.3
accumulator._0095_,18.24
accumulator._0494_,18.22
accumulator._0796_,18.22
scaleAdd._279_,18.22
accumulator._0320_,18.12
accumulator._0787_,18.12
accumulator._0357_,18.1
accumulator._0351_,18
accumulator._0925_,17.98
accumulator._0084_,17.92
accumulator._0337_,17.88
accumulator._0677_,17.84
accumulator._0723_,17.82
accumulator._0641_,17.7
accumulator._0676_,17.66
accumulator._1155_,17.58
accumulator._0136_,17.52
accumulator._0507_,17.52
accumulator._0538_,17.48
accumulator._0464_,17.46
accumulator._0533_,17.42
accumulator._0595_,17.4
accumulator._0932_,17.4
scaleAdd._245_,17.4
scaleAdd._246_,17.4
operator._07_,17.36
accumulator._0691_,17.2
accumulator._0181_,17.16
accumulator._0293_,17.16
accumulator._0946_,17.16
accumulator._0461_,17.14
accumulator._0625_,17.1
accumulator._1086_,17.02
accumulator._1041_,16.94
accumulator._0163_,16.9
scaleAdd._129_,16.81
accumulator._1093_,16.76
accumulator._0504_,16.72
accumulator._0742_,16.68
accumulator._0830_,16.64
scaleAdd._056_,16.6
accumulator._0185_,16.54
accumulator._0278_,16.5
accumulator._0197_,16.48
scaleAdd._120_,16.44
accumulator._0056_,16.4
accumulator._0793_,16.38
scaleAdd._205_,16.16
accumulator._0160_,16.02
accumulator._0186_,16.02
accumulator._0386_,15.98
accumulator._0517_,15.92
accumulator._0795_,15.88
scaleAdd._256_,15.86
accumulator._0484_,15.84
scaleAdd._072_,15.82
accumulator._0202_,15.8
scaleAdd._273_,15.8
accumulator._0358_,15.78
accumulator._0521_,15.72
accumulator._0223_,15.68
scaleAdd._032_,15.68
scaleAdd._316_,15.6
scaleAdd._250_,15.575
accumulator._1097_,15.56
accumulator._0064_,15.54
scaleAdd._251_,15.54
